,ace,ary,arz,ban,ben,crh,dik,dzo,fuv,gug,hne,ita,mag,mri,prs,shn,spa,taq
ace,6.844257043657836,5.238561459643662,12.129399959232536,10.153113019737825,10.155033815158955,8.02857679976929,9.483080302286574,10.46407117774906,10.574368594818104,13.374230306147478,8.965348844311722,9.184586816267238,9.077507661915128,8.220129513538698,0.0,11.941401903626634,11.013448195368419,9.014124698629137
ary,5.787081608400742,11.219096646587005,11.728845723666854,11.719913293382442,6.657495141130114,6.430055518511837,9.731276573531833,8.866428956039565,11.558842256609172,9.938530256827244,7.6006821205368515,8.485994360255871,9.573480644518156,5.809895390463005,0.00878854235259362,11.872299683959845,4.569543945531742,9.774031184693333
arz,5.80100480439689,7.253165093908128,14.077977353637063,11.55798079422871,6.549272424037989,5.468204004683926,9.792643018273683,8.987430132632596,11.415419327831248,9.998042849807229,6.883587262441651,8.26578824302337,9.525576703070813,6.767318206762594,0.0,11.871903405036509,4.253424461598479,8.87135767506196
ban,5.7898298532900165,6.335589704335858,11.636741816433853,14.567520149122334,7.525396039065358,10.588679821371727,9.350685222937638,10.241943284450574,11.005460155519902,13.51031688746685,9.46061470587566,9.920660309417807,8.487767564366827,9.069129818156267,0.0,11.949411292381336,10.804787108595871,9.917291798023724
ben,5.80100480439689,5.191462649784529,10.706540791705814,11.423385895614867,15.090949607484156,5.754667897465952,10.517355321763649,9.199505888902285,10.502865461325364,9.614353794876857,8.73523431479126,8.372037745225175,9.108186879907604,4.3099551307005495,0.0,11.865197091135023,3.11211484376744,7.817541449088934
crh,5.80100480439689,5.183632520499358,11.596390421462424,11.207877854294253,6.5236407612155105,12.298001570782741,10.404413921693056,9.353860569835081,11.5282825671076,9.842673674200975,9.026524580349337,8.368893686685949,9.480754800202781,4.858062244536711,0.0,11.86184223930401,3.933062493856753,7.844997875885539
dik,5.783394415855807,5.187496502277016,11.806514268915294,10.86517993393241,10.891713958722303,4.624800112360717,11.19230994012249,10.13674685153904,11.555747360400382,13.295121384354246,9.261396723608668,9.707952495735388,10.892754749999437,4.3221808900422936,0.0,11.91792885001697,12.3174322500245,9.422313621739185
dzo,5.80100480439689,5.191462649784529,9.19801500868155,8.854268795385153,5.62428427623662,2.0990099247690335,9.615669898934481,8.526627747758548,7.711224388525055,11.01945500466405,4.318304869280654,9.901289682555129,9.42153137330003,9.397986585230496,0.0,11.95543633857452,4.777880257581379,7.461217962330098
fuv,6.55659161606449,5.26249478151639,12.068319828142469,10.32229183812008,10.535818021679054,4.394500590585627,9.276882870914754,10.040164977675738,15.013948189494139,13.25916830493061,8.465338637599926,10.001875806652006,9.474924723342458,7.956388020847947,0.0,11.945130713424168,11.747645237812518,8.623249097395645
gug,5.822323710187451,5.195541661034366,11.971635983787893,10.419808973317412,10.931122288377752,5.570080187087118,6.989996874554754,10.222718666986138,11.476977988932656,13.582821872663567,8.965217292972898,7.616837729597904,9.846700717504973,6.6254247240445086,0.0,11.937596259820776,11.167894677371352,8.508200153071915
hne,5.80100480439689,5.191462649784529,10.803655747532268,11.168316748208888,6.214568977461896,8.320046321952239,10.530913882339734,8.781050161890732,10.791959104262963,9.427567510581941,16.95327425077745,9.281089503146742,12.89724116887021,3.611443040185404,0.0,11.906379910799664,3.186950343593641,8.246324168026442
ita,5.543744915060073,5.690329925147903,11.783053092317559,10.499534448557297,9.212243470006989,9.113043779623489,8.466184713661862,10.188182763289207,10.375240692266345,13.332945150365308,8.67059701509233,23.502451448792502,9.012268036567777,8.416481464515154,0.0,11.937327374182626,12.306839377129446,8.84473956987431
mag,5.80100480439689,5.191462649784529,10.999427342992957,11.128698672411675,6.345043597685189,7.982518865230256,10.521808307356514,9.017635530728938,11.07208484560483,9.332696775539286,11.177384055103124,8.983570724866935,13.767551051406052,3.9456926393232132,0.0,11.919084995747577,3.1052422879664103,8.101019261880069
mri,5.77776837846134,7.3709051628647035,12.214507902029863,9.973230947824598,7.683796339488275,11.422198405898916,9.008120443435061,10.091408766270566,11.639045647977035,13.314135999387263,8.733240319041412,12.386509733884225,8.293750170477303,19.42181795244352,0.0,11.927896142701472,8.728170323219283,8.96337785479839
prs,5.80100480439689,5.457732939751255,11.826285492418767,11.725968996919914,6.907174707362325,7.683798095082284,10.065563028724771,8.758505562039662,11.87357500980623,9.746834793161764,8.29241381252607,8.760645832881272,9.536318594750897,4.825815112193638,0.0,11.875759910308561,3.7480138245510823,10.804900282670662
shn,5.80100480439689,5.191462649784529,7.941654406896753,7.278581784837349,5.081996336154217,13.48704656670775,9.863983288840753,10.165395765165108,7.831189964821633,9.452345779460677,4.861772321863583,11.53200293459931,9.152011413387426,5.205553626722184,0.0,11.915374284560606,3.0609596307520595,9.627805633590171
spa,5.768704191835797,5.4240056007981625,11.623667063692663,10.380953438931904,10.581731497958149,9.501874308588153,8.992154848935984,10.153168664806193,11.108988503225158,13.39382892927058,9.679635382203527,11.433398111608724,9.298628495874976,9.202283702839487,0.0,11.948344424702144,17.440324089979185,9.09561596688035
taq,5.816172392658638,5.191462649784529,11.227578428384081,11.161724287851408,11.125026979821143,5.996378477238317,9.16515870305415,10.071964044452596,11.945848434791552,13.567189979612168,9.693486557655543,8.258902921038128,10.43225302982965,3.6724650131201972,0.0,11.956598628419348,11.25039425668571,12.627350208927101
