,ace,ary,arz,ban,ben,crh,dik,dzo,fuv,gug,hne,ita,mag,mri,prs,shn,spa,taq
ace,0.0,0.0,0.05345367105607579,0.16009170652711724,0.05331141089488156,0.19059611254529685,0.14711926898048944,0.08899159944350288,0.16272624144204606,0.0,0.23634693872097223,0.05032805550779251,0.01629938117923757,0.007642437283754688,0.0,0.001331905983782633,0.31555064649036346,0.0
ary,0.0,1.3604372798383935,0.44065230325043636,0.3456663844196566,0.1715795611035098,0.39204358090820346,0.0,0.16130609132215668,0.28606485690942307,0.0,0.5620321806409185,0.09162024843985428,0.032022913150884236,0.0,0.0,0.0039039857757199314,0.17461200096693297,0.3312201118739022
arz,0.0,0.3532115981290911,2.4881079472563083,0.5413470444719657,0.17943335644718417,0.40939419275483147,0.0,0.17901169155299357,0.5073847334831338,0.20917522544512757,0.6274838554983511,0.08855505153235654,0.04454650941285365,0.0,0.0,0.0,0.05748783010121894,0.13440062496777827
ban,0.0,0.056241519960151365,0.0,4.179067182421816,0.0,0.2067926125049553,0.08469542773090488,0.0,0.2001746923542047,0.11863404551578682,4.470332672212862e-05,0.0,0.09607460638167886,0.017585385091356542,0.0,0.008143492769724148,0.1311531146128484,0.18266997173655675
ben,0.0,0.0,0.11977623834607343,0.15061925951591526,3.8424880698200017,0.4021202390082639,0.0,0.10893307536696817,0.5483759673061144,0.02958084800173033,0.4531687341056916,0.0,0.0,0.0,0.0,0.0,0.0,0.0399459243441056
crh,0.0,0.0,0.25991515805236176,0.15192036662047137,0.16157323460764683,1.8726366961490193,0.0,0.1382820329034189,0.48342451358891303,0.09038823496433679,0.401253944782324,0.14748845967854152,0.2014555865315799,0.0,0.0,0.015709202573772174,0.0,0.012629822983083905
dik,0.002529458268633711,0.002004519732858867,0.21949858377272946,0.08393269609791254,0.008984887054872104,0.00599639051571188,1.5313994491825529,0.0004887947781266888,0.08991490325797002,0.05448331896799985,0.0,0.14832373741923632,0.0,0.0,0.0,0.008001326623562122,0.19322626042075086,0.12020508174703437
dzo,0.0,0.0,0.42829663209640323,0.778083066308012,0.04911307672476539,0.004684870648301587,0.0202587159665093,0.1923942278296611,0.4727931127618774,0.0,0.009758700724124658,0.1342987367666506,0.0,0.17780920889852858,0.0,0.0007710865335841532,0.0,0.08963273204356081
fuv,0.1425354704723727,0.01908731925650997,0.06817207554429139,0.020879900538458784,0.0105656146381925,0.0,0.13417508239831122,0.0,4.595346980630378,0.03534538489151018,0.16699612614149117,0.20195134673101123,0.02801937018718803,0.0898177124983981,0.0,0.0,0.08736839140820152,0.025179770356320574
gug,0.004826172909273119,0.0,0.10955702233309239,0.03825618034979961,0.0803979928741132,0.2906895061048811,0.054480527363808484,0.0,0.23473037324943213,0.4966691640916707,0.004699680279561136,0.1703848476867389,0.01514011729985576,0.0,0.0,0.0025485232921216294,0.9121244460256204,0.2344193820813203
hne,0.0,0.0,0.500007920677703,0.06189934171236544,0.06997353622238389,0.4296052178017389,0.0,0.00014757252724706404,0.0,0.0,5.53541344831128,0.23112726457833865,0.7429978622576101,0.0,0.0,0.0,0.0,0.10599422196304253
ita,0.045130443603,0.0,0.5572629057103988,0.2455074906651742,0.19390238448468722,0.3990359434834243,0.134248193340186,0.06514637993543104,0.1783721914121763,0.08505717991893036,0.0,11.46524155057697,0.0467452173971985,0.27556972452511097,0.0,0.004755600205406552,1.8978717857967844,0.1994573243509361
mag,0.0,0.0,0.46695902416909263,0.08248968264051015,0.1797017009926103,0.5055007767137809,0.0,0.025062159898821434,0.31650802351138907,0.07136021580095608,1.040512649791486,0.1961591451397684,1.9660526874379407,0.0,0.0,0.0,0.005436884205211268,0.08646782341415893
mri,0.0,0.0240819966301018,0.21497116703517172,0.36362096229742313,0.0,0.26567141733161215,0.0,0.0,0.03371530608197659,0.0,0.08888541189337573,0.21836803245125047,0.18463914727269604,8.636381550760595,0.0,0.01550226016046885,0.21960509505087522,0.12621616855519058
prs,0.0,0.0,0.09954066068188183,0.11577833173235774,0.2335333497191252,0.3433867539421165,0.0,0.17009237999290683,0.09633486237846078,0.0,0.2920692771517075,0.07040873129504455,0.0,0.0,0.0,0.0,0.05675449321017112,0.26726326958212
shn,0.0,0.0,0.0,0.030737880576636734,0.0,0.0610707473068679,0.01366367575107752,0.0,0.0,0.2740246201981975,0.0,0.0,0.0,0.023144962918008716,0.0,0.00020780774149642411,0.0,0.20028107590241362
spa,0.0,0.09317380894122795,0.23030636327881915,0.24389572436695772,0.007906121297690305,0.31223639111891544,0.024901967232041855,0.0,0.07006708616734336,0.06316408939158791,0.05268722090265676,0.8855154657480604,0.019820652864087407,0.3638719382633564,0.0,0.003715991589633205,6.981814537424414,0.08267812482589498
taq,0.0,0.0,0.05421667233819072,0.21385841771738434,0.0012384574075401389,0.2729234999720669,0.0,0.007319669257663364,0.1068582110292624,0.03530435363623141,0.08930548385434278,0.09252640865186201,0.05397839365284618,0.005000480939303831,0.0,0.0018551556739918595,0.0,1.100487315348186
