,bul,ces,dan,deu,eng,fin,fra,hrv,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
bul,20.51257225242572,12.391344672595205,7.1866582303121564,5.763915924505312,7.800783508148312,7.978841771276339,13.698768582899245,5.749008231950133,11.945697736527663,6.729336822842931,10.07790719957377,11.774576192339643,9.054303725460214,5.73969265626522,10.765059270535154,11.798770810677203,9.231281699110749,9.3968439896997,7.13261976348948,6.084551638619995
ces,6.541735526855288,21.494115318519064,8.361400498600004,7.439521080606988,7.861914401809578,7.356257489475587,13.787432169448532,12.26200272382038,10.610783214437932,6.603432995681373,9.812292627425851,10.267683361195992,9.368972343695534,9.086000238173726,14.370444985446875,12.61495127821545,10.801320048444746,13.350188879619223,11.591320351464175,9.212741631169557
dan,6.9562302493336965,10.35347585056298,21.440133448837916,9.04636670819921,9.047888886824216,10.08402171147177,12.58001042807351,11.484552292958101,10.886551850518616,9.638930528139804,9.635654120011926,10.353846033540536,9.379788967361682,16.255993748211832,11.626449126071387,12.293861813438307,11.209165235589255,11.148748724092217,11.163604105595695,10.553814485496375
deu,6.784425060041009,10.447451411110865,10.22903573851712,20.109428718027377,9.053652469857099,9.23105210093542,13.743050176574458,11.55458525312754,10.15783275631653,8.917265770644457,9.61142589508979,9.23265472649412,9.699317352883808,11.047305848122333,12.152647757666426,11.675398864256024,11.0046519259853,10.826185050176159,11.195468442609128,9.245664979972727
eng,6.401418110442268,10.049890673847257,9.26442669571635,8.602086753335461,18.752811706435555,8.49160579357947,12.783434711817016,10.666847957509752,10.453057767843799,7.732945736195306,8.723151513644837,9.253564629926073,8.239882044596317,8.907551717535263,13.207429167943472,11.707648020073607,10.12702939183805,11.257094180535908,10.974863604340031,9.670374620396336
fin,6.950119176543545,10.608311392546936,8.947735469965224,7.511200791470019,6.705169574244477,15.21955489603034,13.164902957872702,11.755813638014672,10.949797456544488,7.827585309774429,10.288411325120734,10.581303499063546,8.61233271631315,9.228809727017035,11.061424077150592,11.94297886705553,11.178357081279591,11.707544708438116,10.839907334671251,8.784096763882681
fra,6.915414969869288,9.636324903563162,8.657117884136731,8.0505580279579,8.721520152887912,8.456075257390049,22.18958182089268,11.190928920800902,11.131441683659853,9.695859028743147,8.896908893657463,9.711792022388927,9.217816995253578,9.950846875701162,11.424237788207964,11.578971191669432,10.208336666081426,10.48702358255446,11.693664693308929,8.271810535917524
hrv,6.819137423278892,11.309282631802018,8.659239127660898,7.938849806629249,7.375302401150408,8.94970431693387,12.674041103016165,23.404735803653082,10.506051074671042,7.703846357405922,9.51558164339245,9.520918945814312,8.707685406744934,8.536221612455233,13.87558562434435,11.742874993940369,10.901605925618945,11.415258916444255,12.014281904856787,9.212467921566127
hun,7.051003184685882,9.749137122127562,8.694233953773642,7.707447235572672,7.487788174884812,9.151243266101519,12.844462234829015,11.057054001879452,16.968416488307312,7.680237951271734,9.72721552086445,9.866219972854305,9.160385377221301,8.379672958967314,11.307728323551755,12.13101061788743,11.396898894991937,11.057219755663047,10.757430040302001,10.290067347204157
ita,6.867648396330013,9.66098873985222,8.847047948679565,7.650152865882262,8.805109052493455,9.704164378472381,10.839472118961842,10.888683075080866,10.735346823660842,20.135366715328306,8.833143993945287,8.86755551984528,8.644578551928412,9.956670812901663,10.695692002961978,11.315028103913539,10.276681106202059,10.868097417549485,11.16572272947457,8.183712875931102
