,bul,ces,dan,deu,eng,fin,fra,hrv,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
bul,10.657374913641828,0.6492258465047858,0.5012762493473177,0.35762143593357454,0.49212918471776756,0.45699658442309854,0.8998869182681464,0.0,0.8316810372874741,0.1596332717109279,0.7401254596065723,0.6123386803255944,0.33702762277055065,0.2585664637695313,0.633984951105214,0.8098758219103726,0.14709586582699608,0.22406191001376285,0.3318671819706642,0.3330530708359074
ces,0.22485873912903465,11.066348417192863,0.24994992927991966,0.20936319448122642,0.058253464274989675,0.31046714354645566,0.677153344337297,1.4234830807138934,0.1518359525542703,0.07277958407609653,0.5232653236486371,0.7590567040720053,0.3362051375309907,0.7804896707269222,1.7894888679904604,0.5225542630742357,0.2263799942935787,2.7628324788680363,0.3142367213808779,0.5636842902773846
dan,0.20810307151588958,0.4515817721951958,11.139978615572907,1.145980597140274,0.4715568708989242,0.6969313799479551,0.5427937542660661,0.45643192003025135,0.40812471018412033,0.40326722577109564,0.7360150341699985,0.7774885287426017,0.6807759242065785,5.543579430575214,0.2702713416536646,0.7125797920408221,0.19548473065816374,0.8044325911921426,0.37011509912480633,1.0726956567657346
deu,0.22729744644210292,0.4329981630811499,0.904123309216482,10.418707154212592,0.5454486172084945,0.4802486679552924,1.151576482634523,0.5534764305128235,0.22027790421118354,0.25312912582456626,0.4411536507981797,0.14041735685528067,1.1973447274158087,0.8379319932412628,0.2555213372246854,0.9786932901705008,0.48016563691355607,0.5528660601421667,0.3962499983940333,0.5431603095527855
eng,0.1782352740802926,0.05067059195241619,0.4142875623759057,0.5458598404305484,9.260354801609541,0.2562964354016515,0.8787239467603651,0.30401640566839205,0.28475451420482223,0.05940779282544906,0.10240682416021407,0.17232434202005287,0.6666415606000076,0.8421649226279904,0.20895079472678368,0.514854955656963,0.4381428950574868,0.4675082602355136,0.0,0.17173533944493435
fin,0.2774497482470739,0.5662614370613923,0.18886377974744306,0.21313116014737155,0.16928274107752017,5.494515209248188,0.43067298031484746,0.6758854818893791,0.38006778642690087,0.10479864497107538,0.46461532499556846,0.4083944486128974,0.4657056198746794,0.5987593654818149,0.36925378131133435,0.35350622684671684,0.1825283260533901,0.7134856508096572,0.32149863733021533,0.5269398307504041
fra,0.2029852010179134,0.09151582835732164,0.27819065836318657,0.4125528461824448,0.5043951315583808,0.25588444106988106,10.66169284660753,0.4606345909825027,0.4032320648675167,0.7231680858028291,0.12183555793632905,0.29053849645290875,0.40251390789832975,0.4726777256703034,0.36173567017451447,1.0343614052761279,0.5522368037260392,0.4782672802120622,0.6199651688898893,0.41674126530584576
hrv,0.18089103938211526,1.4744723985583583,0.4312126205968845,0.2557032240509116,0.06016370412997585,0.4301971609244113,0.5612700786222593,12.298666762515158,0.676176757276524,0.2147598867499525,0.684441944182149,0.3298754846300316,0.2967449614328235,0.42908845056546774,1.0993070800915792,0.733252548638724,0.6115986735246342,1.7049582283865554,0.8263387060080358,0.6510042824192155
hun,0.2622839974889697,0.48875966762238754,0.18574131140434247,0.2666134908659705,0.275659385659349,0.3768339170800168,0.40911961529888075,0.23289636847382944,6.6595158200954785,0.10710775838747999,0.4332028567802375,0.2804310965411716,0.3831252081518244,0.18032991968156686,0.1858575255661563,0.6986015772312406,0.34475036463206443,0.391800014831718,0.10706458290745502,0.3843215683859462
ita,0.15531639980965917,0.19412892182550578,0.17281604722045252,0.1588082469660872,0.42451862426432463,0.44091920681262664,0.9333473333163109,0.4773890829819063,0.07869016109746951,10.017501959588301,0.09316496405803854,0.09627110957395146,0.29507411684989826,0.5389382471009778,0.17431433978578426,1.218085676829519,0.7655006813185512,0.5410838166828533,0.3170934242589656,0.170399617635125
lav,0.2045632028686244,0.48544416413350255,0.22421630327071007,0.18738502887794795,0.20488198415199932,0.3012753069617844,0.7047652374909354,0.42422184744484603,0.36718313438258754,0.0,6.777015610585201,1.042487333678885,0.23852560136951695,0.035986998574653484,0.2591186296803567,0.5053768329280413,0.3821325105222666,1.2976692977489215,0.5760972215040745,0.42224624860147575
lit,0.2338692038070107,0.7481730724003768,0.263404509972462,0.30019888565757125,0.2686379751502477,0.427918133006969,0.6876681068600998,1.0357981412255022,0.3821153469912115,0.2830198482291628,1.2078990862631773,8.890223395999202,0.40454652827935256,0.4986997522595491,0.3253291103994762,0.554984889103757,0.2964736999387867,1.0159227552649188,0.4797821964920992,0.4445210005183764
nld,0.21520217103573192,0.5069402811701895,0.6457240617009479,1.2423150189877408,0.7725111837479908,0.3408593057778937,0.7648776252478555,0.6389431719956491,0.3259446102770944,0.670471094724375,0.2813703137762893,0.3858018528732501,13.112578766858894,0.7713496342807975,0.5027277625007525,0.35496598484571074,0.6849934933079354,0.7640897211361697,0.45665293031682985,0.6092487268358706
nob,0.0,0.4183991424057716,4.140657459023419,0.7612794193868027,0.33129843453237484,0.5474792535430222,0.31235284905912764,0.5817001015552261,0.11769650869607595,0.17812236831576023,0.3068901362284535,0.5087193978854536,0.4552628252438726,8.403809500219296,0.13182460371915283,0.5021704907801805,0.2773049486716417,0.6103316614481749,0.2488346726451489,0.8439496936872857
pol,0.22795335198824418,0.9803876938940448,0.16451192858371577,0.3321166764910437,0.2025582663060339,0.33421082725196616,0.4264343178639791,0.7467842660072161,0.19362327984195637,0.04206168629975071,0.22616978221499018,0.23886786394791137,0.34091803217890515,0.25869596137500217,14.3187629527188,0.4785038434247806,0.191152230285061,1.6190254994186084,0.6725069890674096,0.23318903054785167
por,0.1994024765911302,0.25435519582144117,0.29180127738721495,0.33121603079100925,0.6226155725292362,0.3050203000013134,0.7169776476076226,0.3092089881499742,0.2127516913812162,0.9067791116112414,0.039968613492142424,0.12156402928643573,0.33849615504796127,0.451390626420638,0.2564501155203889,4.8440407846522024,0.2617500310622809,0.5405044377024506,0.5189438149091394,0.44801312427567197
ron,0.13317088558537815,0.39466238399517195,0.09979140635644512,0.20795175729710902,0.20913308721967194,0.3479453085867297,0.9815680310404904,0.6161711929411258,0.37373101690008603,0.4363363426838678,0.21723311901043196,0.08583870048236264,0.41792379711142047,0.4910525912459054,0.2833440383847954,0.8361722899907811,9.264008342341414,0.6183677707151176,0.5410494080319221,0.14425035315045776
slk,0.19841657065531493,3.5625163814450644,0.3064548325825971,0.2835171526895204,0.12033760544467853,0.28783402124113877,0.5926381492538031,1.4248808058261169,0.40782326989931583,0.1507302912010049,0.5963527100325852,0.541727051778917,0.4737568862962682,0.7729871100218819,1.6882221114062563,0.6311191707033679,0.27925219250360556,5.657262463077162,0.48484180943761856,0.3904062320455157
spa,0.11496227036093298,0.15866202503022997,0.14920658864703995,0.08361363674837108,0.4856573432606419,0.3864108487505149,0.9311043833251933,0.4134110414372696,0.1413712865022383,0.9127704836769084,0.1482765396181911,0.10845128760099243,0.1900896134265384,0.35779046904984746,0.22182533091944912,1.2386282360811638,0.5272324952255563,0.05468900619178463,1.1765282515751974,0.2893934523548065
swe,0.15475940379072028,0.49026383803390416,1.7750310788960721,0.784907310190138,0.2952795860360702,0.6181417556564419,0.5166588631844409,0.5861384140138757,0.4956962089896315,0.2792625973818552,0.3783901836239014,0.7617781489254796,0.6334606460390404,3.4447149879973917,0.17340953528540481,0.795601314045161,0.48450689951353176,0.7810225500234402,0.6304192749318567,2.9490793165368334
