,bul,ces,dan,deu,eng,fin,fra,hrv,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
bul,46.208243300651326,11.492828785989536,10.591959612877158,9.382606805973898,9.349938082867999,11.058617879690644,8.656712692824744,12.961712878986042,5.251735443764316,9.256663295787213,6.395891509100609,12.398182457466731,13.006550556931753,7.99790018680467,5.5333721606633635,7.74279547205128,8.891295855822968,11.925433542492753,5.192592546149696,3.1572010032020197
ces,2.9677185239266524,42.46743276751004,8.029601119246694,6.335167785255604,6.573608226306288,9.959843310759918,7.175729745100988,14.283451607503206,9.700982780548827,6.438835219804459,8.360710379419043,10.227797681304835,6.406669457540924,6.983500903444827,10.573294892692383,9.027341435523104,6.7355641266919095,25.77896556172129,8.079362435716767,9.600646410409858
dan,2.6629522406921216,8.195174234303606,45.85454035968672,6.3964139217100175,8.907156568515132,4.488613597640236,5.490910975799455,7.730722857019913,4.8821069633727365,6.3931107565310095,5.103074230715323,5.834810218930073,9.589126715721465,31.92347912119421,5.08147544481603,5.702910344862377,5.9177013288866345,6.479636455996675,4.6164252685188,18.734910302176477
deu,2.6174873401391734,5.368901016570902,7.394401603193433,42.645056863569025,6.720700763094975,5.142910277570941,5.338838103867077,5.226011620072388,4.680563033454897,5.651163906109079,4.490577122257971,3.736558566754114,9.610423534845587,7.043945416911268,5.215195804158004,5.641469247378575,5.848414145681574,5.398758838870729,4.9662716526575865,7.36479375154475
eng,3.4080117123687614,7.1070358860391645,8.539191007355907,5.833081017410035,51.93074314433278,4.6390168678876345,9.416984511037494,5.458503540805659,5.121610318638061,7.973146658876081,4.398778799744356,4.103075678304952,11.016402892004386,8.543913418455919,6.430938618092534,6.778236267669081,8.167436494301509,5.7612072651992845,6.19451393090472,8.314714640077838
fin,2.6311582747812254,6.32526749190868,5.296165955085731,4.786811193625791,4.769126658943419,37.72366818669449,5.01392916715855,7.1386441132694785,4.366164064612811,5.226710496379981,5.537844706875423,5.6559495680833205,5.022609523030298,5.971679689654694,4.418653351936919,4.552025869507858,5.029775273959471,7.1851168720041905,4.484161460037445,9.088939944948892
fra,2.49626642195071,7.537493187383045,7.227360408182824,5.323478964502252,11.338310454177316,3.8370215029708277,46.67632429470183,6.864059622826743,5.109235315165791,12.062278245777183,5.274788362623529,5.316880756079786,9.034700833961834,7.8050038501569805,5.493808819957105,11.56385518045308,10.096289439576134,7.5818177695907885,11.149893597016339,7.297182476995273
hrv,2.4728020548029797,16.941714650634264,7.3360415993827255,4.206261208635717,5.214551657546362,6.41685855712918,4.897232446677705,42.65589806865181,5.451694357935997,5.4641008501138035,9.52600652919932,12.21938531900774,6.315389072500061,7.897211554176338,11.344407194832677,6.646906327755012,8.123801107669632,15.97004523558015,5.529103928833402,7.771306748626959
hun,2.6366114937327314,10.392040546955899,5.9482912988344925,4.787768770838032,6.308229721197062,5.4441750919925695,5.875138573078187,8.15074040260106,38.834109545853835,6.045017325307973,5.305719172582374,6.292918233766823,5.104713309304883,5.998718139213369,4.739784149515555,8.905379673678052,5.616797510033682,11.787295314445686,6.122151000036384,7.636592914495785
ita,2.721100096846513,9.136777828603083,7.524939578215904,4.924294023975914,9.99194022622299,4.734319095524298,11.797017779807828,9.81872817761609,4.925114455202724,46.72575010046345,6.4063707444978855,7.386461993473198,7.655353044267573,8.428680435208681,7.488180595161308,13.674162328132859,14.47021993069108,7.854525349799029,14.560894914407937,7.3699697415017
lav,3.3287935171553498,13.390797537928886,11.40231108156378,8.113709984826418,9.032839762044297,12.150791466141607,9.185702045478008,14.941312215063956,10.605088693589243,9.700448756140432,39.921512770462385,14.68353309409078,7.5096939821808,9.956623518844104,11.131880815602903,10.788099780112317,10.934770136695787,14.408297230712863,10.030118571030354,11.987551756097298
lit,3.159367917213178,12.223134060792237,10.069338057527602,6.607343395202513,8.054516521662903,11.297424450615084,7.813491757397867,14.371235965493081,8.384894370264211,8.621007870798422,14.295475040538944,37.426012944013706,7.185271893739187,10.640473619633479,10.566737755116746,9.14718261730817,8.951570748560094,13.510895540007251,8.694405340612,11.1050606734796
nld,2.5172718305593635,7.939847922541836,10.570478210742058,7.999241739282338,9.749843269941463,5.402203908194489,6.29559925717069,6.9706104029286715,6.73544774174005,7.694164260082199,4.858297084779677,5.006419791141652,45.92065643724248,9.57615920535379,6.2290879217148705,6.261353324035114,8.130125425843907,7.313723059390504,5.5544853359734345,9.642795325976278
nob,2.685030061241627,8.064506994258275,31.201843662147695,5.9651463536693665,8.367706894232075,5.146088553739495,5.306187523876626,8.031777755121821,4.997927333778003,6.426258091465517,4.899683589671885,6.058948181204276,8.52266693265377,45.759660474030824,5.1372595073623035,5.409850254593521,5.903588745265517,6.398001963387315,4.647476228521303,20.478684716062915
pol,2.6393284739335834,13.624261293667987,6.068362347005409,5.001692407257846,5.113755476041999,5.210327243604056,4.657155324323904,11.934857398209422,5.297139850071097,5.1624903366638515,5.61620709585058,8.795060705082319,5.821717685114589,5.82590945974062,41.26998940016649,5.760704052618324,6.617917505105737,13.663174288795895,4.674925589985176,6.324077429826433
por,2.7167400150521224,10.014651014937675,7.765541503451573,5.526572278247359,9.744493614181902,5.850069363644975,11.154397940423904,10.497386925887666,5.976083761668295,15.392416527148335,7.825615879411566,9.037635667206235,8.56561137450303,7.675420637639403,8.068164646480424,47.48762868444704,13.617670676163698,11.591158627133122,22.89072732148505,8.289965870135058
ron,3.044237403719518,10.201644601040366,9.614904818590302,6.795192229562649,12.210677576723063,7.527764732303675,12.783920093562276,12.75061369030443,7.567854408427102,14.475964560301225,8.747893062774118,9.12821353436478,8.81407638224375,9.105599635265799,8.93810469907697,13.362660823406653,46.02384313465138,12.280899147543607,13.632919523614609,9.961319297405574
slk,2.9739919232846366,25.704395382838342,7.453853292858764,6.215371348491202,6.528897849923494,9.211968775962493,6.09162896661476,13.888635003769393,8.780755015080596,6.660433091014277,8.023877473524358,10.820376521254882,6.845313081117903,6.2833551480944845,10.861273653047714,8.03003064594112,7.222308387119609,42.00895428761724,7.352672932085218,8.488946985609518
spa,2.4778366905118685,7.968256598300989,6.501378184924969,3.935268005073279,8.971308058948791,4.221775347797179,12.529110634186644,7.439467340288769,5.562183644735481,14.18751837497719,5.797961455761616,6.52691231528412,8.22486400480487,6.520142560968026,5.685614923755896,22.33973295242552,14.447742547003898,7.79226027000596,47.27285357592945,6.696782958652952
swe,2.6032675828541842,7.49897735474178,17.36472269478469,6.5548365676065865,7.207733638829766,5.777184547527526,5.372988962745118,6.723493894164287,5.042637286641911,5.768776740703081,4.942262385622476,5.048124590571246,7.873716716516525,18.534366071430036,4.816279467006769,4.817837175088135,5.706788382381777,6.995032978375394,4.4098752589062435,45.18542147489626
