,bul,ces,dan,deu,eng,fin,fra,hrv,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
bul,22.060676471431197,1.3707413114221845,0.9456998142969292,0.9372079571922637,0.950238020316058,0.9703617160158312,0.8256090575037099,1.2302938731664734,0.779233473995748,1.0175828058834289,1.0163337139921589,1.2061782638994103,1.2802069535351623,1.0553991562409477,0.9507850689672127,0.9859978028726188,1.0025377875839054,1.1715042886360536,0.8373530175760723,0.5684219998028833
ces,2.2129898257848217,18.766375245129236,2.055237958249487,2.013329030817858,2.125551998586375,1.9600821436526439,2.000963111741673,3.174108789334194,2.316191708208737,2.0496910207492056,2.273140313342038,2.1063440274164864,2.1540117185328698,2.418796415293122,2.424382306772488,2.401759510789047,1.863949585247607,9.385194889492695,2.316847306586843,2.2803093088915496
dan,2.6033972305357995,3.496852189957509,21.384416744574693,3.121120988845233,3.7515718907827296,2.4811956879656067,2.8055713592497766,3.2378150890250215,2.6809317083562223,3.0717536478074994,2.8299632500118124,2.6627889014470387,3.9420637906802045,13.869925150519109,2.474546907234738,3.004911368374386,2.8282293940957386,2.9968866496346678,2.9838415265147034,6.780800787010333
deu,2.3586499524432694,2.7120906331869925,2.9498200448880945,19.75324399865292,3.0284569452957975,2.366388572772347,2.629790431566781,2.4927611142187134,2.3864504834812843,2.71190638310064,2.590854205019091,2.0112823746526867,3.8426802333991574,3.397478210084768,2.3909601953291326,2.8633184173675765,2.576742490880446,2.4254269276794607,2.760565765037941,3.223387954785481
eng,3.0081340567841877,3.5088741971309574,3.6918764240468405,3.8430894601172736,27.58311878476702,2.7401070495247066,4.125185385296031,2.7646023678100855,2.8017202418174345,3.890054498822706,2.8604100580650726,2.4680866299642426,4.945389264637698,4.716335282973537,2.8819315104363286,3.566015216442138,3.550196270141825,3.0717704666387036,3.5635777265998905,4.1157817373777466
fin,2.4935667974786475,3.10114308644249,2.691491703228678,3.0236286429002814,2.855471657203472,14.794341146925518,2.645236242481393,2.751886916569894,2.4403165164042244,2.773543852134193,2.8016717543090626,2.4714693925903117,2.9335934977432823,3.1713523647785182,2.211010724028872,2.79302432686056,2.5061914681142983,2.8784936336575275,2.8859269086178423,3.693321945440468
fra,2.191948188676438,2.7687654214384874,2.5504718321917057,2.4726314374054885,3.3557134268407234,1.8873727614260642,22.13497537805344,2.3134188132634885,2.1891211021646195,3.600800141530122,2.3554651517660803,2.1481783730326356,3.195262764110291,2.977296523676975,2.252548497875939,3.687060499862781,3.045439037110464,2.6113348893133526,3.591246207726366,2.734904178926189
hrv,2.17199912537849,5.113717005841325,2.7044956241094513,2.324986902824682,2.5452375506484755,2.4834674230464024,2.5238220541254486,18.845418291567952,2.3362931721929505,2.4781852952040473,3.432967983049492,3.526052716132314,2.9204965047077662,3.33460860017173,3.4955366256532847,2.774425807199562,2.799190381165796,4.579769656710193,2.8492270303132994,3.1071549073358438
hun,2.2017261645084303,3.130401084110305,1.908958127747101,2.06703770000307,2.248325967443951,1.8066647932939157,2.0684818810111314,2.2948315292498047,16.410621402567216,2.0713645428850325,2.140928236223179,1.9182597737388887,2.104755194733368,2.46733587692001,1.9713575134354089,2.6964486151547478,1.9416186857816926,3.1506288220158374,2.361507217529627,2.330756083443523
ita,2.435151440325972,3.1219566659970206,3.029046289613258,2.72432517206781,3.4834328857529693,2.2481247266594138,3.916354932895822,2.8752149091416737,2.358689604250303,22.385032478744012,2.858344028706906,2.568291560706359,3.412035434532876,3.5756652566354163,2.742614735597034,4.531726305423088,4.222649027085719,2.7693035431434927,5.02887195845779,3.2159895618768948
lav,2.127235194852793,2.9191495469692703,1.9766800078406925,1.8390151185424997,2.082365857513554,2.063013160122342,1.742898172443891,2.517724876299207,2.07152267325104,1.9649036260126869,16.692962881110446,3.0129254897549522,2.0462486579129697,2.4116328155741527,2.272353396293897,2.054376809711217,2.029609500356789,2.5808628471761956,2.0756670564239452,2.305522919263156
lit,2.0884016272996533,2.826753325145258,2.085838790608849,1.772630243680978,2.149879118742349,2.1056489347377068,1.9635128918726095,2.8019226206791545,1.9606676421826865,2.027584951909152,3.053232292852874,14.578307666956528,2.0993555151120136,2.6272849792126856,2.3451034232077026,2.2039748524880163,1.9425921304448583,2.754638111696645,2.047191120537865,2.3343819700055914
nld,2.460692165533906,3.2618910310022615,3.6755056818052494,3.844350756530323,3.834413957938372,2.475601586207385,3.049934717729,2.650994368741629,2.7977780880646064,3.230979842743575,2.7778310207725965,2.4347013020239436,22.802744423852754,4.070000510631031,2.534660762662945,3.139179288687809,3.092266206544635,2.8949048115603175,3.19240137730784,3.701069893652889
nob,2.696774607916351,3.5662449712102045,13.050813595283522,3.305969458231162,3.6670526646235135,2.7188056237707765,2.8839403552005773,3.296834103431393,2.7606246511666814,3.2169182784558656,2.859347234769876,2.822270015275702,3.843334282055798,22.01092990176517,2.6183842345261152,2.96023939619106,2.8491866264561687,3.0470292876340372,3.209988911074211,7.659972912627565
pol,2.104059433286908,3.223542404544246,1.8537486982948768,1.985286441388514,1.987369843875842,1.8407859036923326,1.9171856650010386,2.7400571791573287,1.9424444830160836,2.0225512942638906,2.0779688912948022,2.4410068206882283,2.1586554447629624,2.305199097202757,17.759542079876613,2.1010940418260016,2.0748864784461483,3.0966876354858557,2.130367168136714,2.184835119530835
