,bul,ces,dan,deu,eng,fin,fra,hrv,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
bul,4.105322236895962,2.196841633249256,0.0,0.9283929561483779,0.0,3.7095543637645023,0.1870569336066716,0.04331869495716891,0.7577766749049001,0.6269757692566162,0.0,1.7604233285325257,0.0,0.09961073870994974,0.014054430898244563,0.31916708115578185,0.04122196008408203,0.9068006481429162,0.03544211137553069,1.31034001091906
ces,4.603017176841076,2.120462123758733,0.0,0.9283929561483779,4.242816194275264,2.814626971808543,1.455362295003336,0.047054348191453474,0.8057267984876594,0.5940684138977861,0.0,1.7506195245222032,0.028949785014269144,0.108953873235036,0.014054430898244563,0.8888558162064646,0.15232233843632834,0.8043105271503423,0.09850653074855457,4.189014097632776
dan,4.679451243087163,2.098458978010833,0.0034408483467170616,0.9283929561483779,3.7536602301963358,2.2803535207914614,1.7445224256982934,0.04749253027901835,0.795961861378479,0.5986483980486579,0.0,1.739196726463674,0.008850359579884007,0.1430865708897814,0.014054430898244563,0.7603160390581789,0.06494543378096866,0.7950733579190598,0.04218873101018308,3.3128026387180127
deu,4.541814189807726,2.1303131350004567,0.0,0.9283929561483779,4.047250812347727,2.779631858434595,1.700799497341992,0.04721037332674367,0.552524463355629,0.5977235668650716,0.0,1.7362127929240092,0.07887982008289969,0.11466898684199507,0.014054430898244563,0.8890498783892179,0.09287414675800593,0.7918927325571136,0.04362381192911889,3.3829014096178147
eng,4.856607244236885,1.9330842520843625,0.0034408009896194757,0.9283929561483779,1.5906015413249244,2.442784028119014,1.65552827773123,0.04656988288574134,0.8507213519075423,0.5891505267878203,0.0,1.7325433832898691,0.023420475751999296,0.103851821793662,0.014054430898244563,0.7911334568872916,0.04825065815973001,0.7918723260639822,0.07724202686506883,3.111941172118584
fin,4.556037258574275,2.0790326029721276,0.0,0.9283929561483779,4.116975384828837,2.006079723987106,1.4298065634358283,0.04594841056768175,0.7587908020096443,0.5872500173499107,0.0,1.743345718174323,0.02852328972962885,0.10523895378766572,0.014054430898244563,0.8903445342623332,0.058430733889788214,0.8101147748984331,0.03587482934925253,3.323199056685137
fra,4.803930074573477,1.983794876178954,0.0,0.9283929561483779,3.6525237518007687,2.0818790628254784,1.1903366016006238,0.047649750928068654,0.7762350119150898,0.5872883031217129,0.0,1.7336080267919374,0.003995828167910597,0.10056890009865158,0.014054430898244563,0.8418836152482789,0.19141081927705209,0.7886147641624772,0.3400134465319205,3.6836655067075994
hrv,4.573092874616322,2.0383019334515335,0.0034408483467170616,0.9283929561483779,4.061767308968227,1.892747045975297,1.5938959771512027,0.046956094791315295,0.9918306829471017,0.5749916967223734,0.0,1.7354651748195056,0.023839610644741178,0.1070627621905199,0.014054430898244563,0.7433095404707517,0.07624342193583526,0.8107648579121501,0.403173596245561,3.338447088498348
hun,4.543780933639149,2.2088312809125394,0.0,0.9283929561483779,3.895788779999105,2.9179542797172653,1.9161074469844122,0.04724289756416544,0.6271114471351736,0.60125005545952,0.0,1.7353776837336699,0.019707467279359913,0.1062024618302833,0.014054430898244563,0.6398295820421328,0.04792468177914089,0.7886147641624772,0.030193815839573902,3.1204355376016233
ita,4.755363024291211,2.0102254891650086,0.0,0.9283929561483779,4.095130483182708,1.6205974866465083,1.4767526074658384,0.046640974036090625,0.8901046565946558,0.48723786681065884,0.0,1.735998787755851,0.0213932117067485,0.09961073870994974,0.014054430898244563,1.050307136199933,0.1772974753612775,0.7950731021142153,0.8020639861226552,3.498251958989985
