,bul,ces,dan,deu,eng,fin,fra,hrv,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
bul,0.15761204609668286,0.02290567911589603,0.0,0.0,0.0,0.04817506333658689,5.473719434154207e-05,0.008478440395259046,0.0025488148184822446,0.08409309832911625,0.0,0.0228504571952317,0.0,0.0,0.0023206362188026154,0.028621381194042242,2.155141219677616e-06,0.0033665755786557567,0.0010365586532826581,0.09538273025030804
ces,0.15351735897325328,0.03679413554178304,0.0,0.0,0.19835276662040105,0.05995340487338922,0.010092347474696724,4.2635242604556914e-05,0.02064282306810318,0.07868562024706359,0.0,0.025767278769390195,2.2410549623038407e-55,0.0009364572331324753,0.0023206362188026154,0.05828164363607001,0.0032033844871978976,0.003372184999236728,0.0017810136628226463,0.19837566253340685
dan,0.1266670868692035,0.04698680867240006,0.0,0.0,0.18512065319430615,0.04771075578221445,0.03392982830899985,8.115744722375594e-05,0.007623835652756277,0.08962577107599053,0.0,0.025110418846086165,5.864947745713956e-161,0.0013097271224979208,0.0023206362188026154,0.07821286093093492,0.0008479306559417821,0.003369383790950078,0.0011354315079026127,0.15142310885445617
deu,0.14635726014029907,0.041210936081877196,0.0,0.0,0.20664562972319706,0.05977664687325254,0.04654243950928714,4.64411778110029e-05,0.006448422352500435,0.08965540675042842,0.0,0.02537484644782729,6.643890644212226e-23,0.001113937629117571,0.0023206362188026154,0.06503865399519286,0.005392735675686369,0.0033684485004252967,0.0009768597184566024,0.18838401791808684
eng,0.1143084955130307,0.04494828824732283,0.0,0.0,0.02513147086354655,0.05168590741914352,0.044868760058553565,0.0007854662743105203,0.00883227583329593,0.07019447366923838,0.0,0.024114192958244716,2.1898549571859055e-82,0.0,0.0023206362188026154,0.07446197026937626,0.00013805735679667242,0.0033684485004252967,0.0026388442869001573,0.1584111019913047
fin,0.11839400611388398,0.044273118845186706,0.0,0.0,0.19716485634722858,0.025085160631487545,0.018824184789741467,0.00021215893932445708,0.0069621223458406455,0.08913482452679,0.0,0.03570035458441847,1.1030102188850166e-55,0.0008240556081574484,0.0023206362188026154,0.07547437115428389,0.0015406785792139658,0.0033740486003896743,0.0012686983391180689,0.1727498679524952
fra,0.13210158045873663,0.049232080430177474,0.0,0.0,0.18035471365923697,0.047784395256407305,0.004655693130256612,8.334403663394575e-05,0.006109736021356137,0.07715716289439531,0.0,0.024785731207248297,0.0,0.0,0.0023206362188026154,0.07304411069047526,0.00782686590254552,0.003367512430166679,0.004308266332274607,0.17673122568228666
hrv,0.1253601663536668,0.05231655812667041,0.0,0.0,0.18688369853796097,0.04118322418553217,0.034693897975933946,0.0001428479186731231,0.013777742597368992,0.08797126923900078,0.0,0.02510257692135566,1.1030102188850166e-55,0.0008856465704253679,0.0023206362188026154,0.08138716320014718,0.0005975130633872604,0.009551140832676554,0.0048710396934359065,0.15732803915575636
hun,0.14557376517396478,0.037616504718211936,0.0,0.0,0.18879992011639227,0.06542994113641172,0.0344859437969827,2.7987401042718682e-05,0.05943605480352356,0.08589696102818828,0.0,0.025029799303203117,4.1470517957765955e-83,0.0008856308802294064,0.0023206362188026154,0.047778885624981685,0.0006749639021350732,0.003367512430166679,0.000890770581712241,0.15406577358395082
ita,0.12846138726391357,0.05300658188883604,0.0,0.0,0.1914571155364347,0.03124836961233704,0.011064558912790528,0.00013542325340562937,0.017001037458359153,0.06154691006429667,0.0,0.024354974096033745,1.0431626591552612e-55,0.0,0.0023206362188026154,0.11846847238946503,0.0018552966549512883,0.003369383790950078,0.019330974853942366,0.1675034773673591
