,bul,ces,dan,deu,fin,fra,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
pol,13.936157308522155,14.751841651276584,,14.675864979191456,12.85030583683024,,,,,,,,,,,,,
bul,,18.08028679968476,,17.230269071704644,16.16405093111048,,,,,,,,16.891607784347773,,,,,
hrv,,14.051717813589846,,13.267764464057722,13.374763443750112,,,,,,,,14.59741820874681,,,,,
slk,,13.119359556284214,,11.504436194239288,10.938041591117623,,,,,,,,11.890601577753419,,,,,
nob,,,3.3963002988238515,12.63587966475287,12.155971240509968,12.260879415604162,,,,,,,,,,,,3.031969287139102
swe,,,12.470034136754542,10.63769974123152,10.664797416163697,10.956926495956392,,,,,,11.930546527612208,,,,,,
ces,,,,13.347078458535242,12.968086095937947,,,,,,,,12.819905874782906,,,14.691669448839775,,
dan,,,,14.480259596739245,14.250495439666208,14.198300943095992,,,,,,16.342352272085726,,,,,,16.46336784902801
eng,,,,16.57124754193581,14.299526849495363,,,,,,16.9324011895788,,,,,,15.073532099776026,15.35633746869034
fin,,,,9.092850537111692,,9.39552467983487,10.029259510646964,,,,,,,,,,,
hun,,,,12.227759826981405,11.48497315605712,10.363861649671632,,,,,,,,,,,,
lav,,,,11.610745283779286,11.623480737215052,,,,,11.419137575686515,,,11.16829492386499,,,,,
lit,,,,10.787948997414434,11.798884409436049,,,,10.70874189808433,,,,10.087713733170325,,,,,
nld,,,,16.83010126213039,15.869345536410162,15.996637286348683,,,,,,,,,,,,16.91434838741796
deu,,,,,15.122551621145279,14.082003820751751,,,,,14.829942575432947,,,,,,,14.867671469271635
fra,,,,,13.378741816017358,,,14.18028795529896,,,,,12.819736641779718,14.341113303253705,,,,
ita,,,,,12.842259556075541,14.547355570778874,,,,,,,12.255518497374231,,14.795628589749944,,,
por,,,,,9.49833433984336,,,9.283328822006958,,,,,7.615333661611398,,,,10.058245169437708,
ron,,,,,12.553958890851826,,,14.032335899061952,,,,,12.420261415489236,,,,14.718975676308554,
spa,,,,,9.19433407950339,,,11.556614418613705,,,,,9.70424408627097,11.98480025583855,,,,
