,bul,ces,dan,deu,fin,fra,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
pol,13.854467674343626,18.56867331750143,,14.706147375268666,14.627787472695822,,,,,,,,,,,,,
bul,,18.499188156205104,,17.22268275475477,16.751471711347605,,,,,,,,18.563841193442478,,,,,
hrv,,18.998520211441004,,15.557591316799135,14.85006473647984,,,,,,,,19.58090240135172,,,,,
slk,,29.980906194915026,,14.185632331816137,14.115320454700289,,,,,,,,16.85303040337751,,,,,
nob,,,16.42877979528543,16.954941951833245,13.295372867436608,15.581336138349346,,,,,,,,,,,,10.870606464092113
swe,,,22.67780564950884,15.63769161557113,13.073940467326228,15.321233673071433,,,,,,21.07699885257884,,,,,,
ces,,,,14.510338589707825,14.575134676957779,,,,,,,,15.783787997307797,,,28.431514447987894,,
dan,,,,16.82608328044323,15.06889378167156,15.541418932676338,,,,,,38.31177482973737,,,,,,26.122947415529257
eng,,,,17.0539466394785,14.291028006464604,,,,,,20.938938148099464,,,,,,18.528337200461184,19.258096925581917
fin,,,,12.638650657034075,,13.122954966648766,13.377305779087903,,,,,,,,,,,
hun,,,,13.852011270952042,12.614055910998633,13.720553007323206,,,,,,,,,,,,
lav,,,,14.02063486788531,14.69034903277738,,,,,14.85856983979829,,,16.42220550435198,,,,,
lit,,,,13.05688397438933,15.185368020698714,,,,15.246310255900902,,,,14.507072330545348,,,,,
nld,,,,18.11507511394455,15.784006870233622,16.87988334839889,,,,,,,,,,,,18.949735839906452
deu,,,,,14.874829461620626,14.285736694140406,,,,,17.460857087204392,,,,,,,16.861562755555713
fra,,,,,15.408948250478153,,,18.364202243829684,,,,,15.600311021963867,17.34096332765341,,,,
ita,,,,,16.389587226504464,18.266452418028496,,,,,,,16.52554315120622,,20.678766142073883,,,
por,,,,,13.056411422046674,,,16.470923768599295,,,,,10.974654121174098,,,,23.734374107708724,
ron,,,,,14.148110841512779,,,19.29154186267331,,,,,15.64102408303202,,,,18.97108159611191,
spa,,,,,11.109300227282336,,,19.27408642627598,,,,,12.83457935372617,25.419913753101163,,,,
