,bul,ces,dan,deu,fin,fra,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
pol,4.551754611245704,7.814508496733239,,5.253806706542129,5.2529080379043975,,,,,,,,,,,,,
bul,,7.875212572732302,,6.939347951099959,6.593102568170599,,,,,,,,7.629851226211944,,,,,
hrv,,8.899914829083052,,5.488307084796391,4.625009761548238,,,,,,,,8.701411359670503,,,,,
slk,,18.20479916420328,,4.306632598474927,4.124739170030555,,,,,,,,6.266779140567442,,,,,
nob,,,6.168114842911917,6.774730060005435,4.309114330917051,5.474424624213212,,,,,,,,,,,,2.8421683948168504
swe,,,12.075215470893685,6.033054624139682,4.246604320408194,5.348398642143371,,,,,,11.073771754860672,,,,,,
ces,,,,4.583565779208204,4.88623198559044,,,,,,,,5.791476847707507,,,17.118289149123818,,
dan,,,,6.68923213509682,5.305022780550463,5.662966158412333,,,,,,26.590977100407926,,,,,,15.02991294190625
eng,,,,7.54654493533363,5.7405886698259945,,,,,,11.00793092817282,,,,,,8.901559609940694,9.52263816093879
fin,,,,3.666725818708132,,3.4047602421452314,4.07976215721364,,,,,,,,,,,
hun,,,,4.10242938205584,3.6429275323704964,4.078089610931698,,,,,,,,,,,,
lav,,,,3.7136406122675165,4.387864442859609,,,,,5.369902373427337,,,6.0225280060925055,,,,,
lit,,,,3.612051650351326,5.099324355896167,,,,4.813769056466262,,,,4.461637474181696,,,,,
nld,,,,8.212320143458513,6.36999860612627,6.747637874236107,,,,,,,,,,,,9.000821626869994
deu,,,,,5.180230256393315,5.115889581445106,,,,,7.44651246081207,,,,,,,6.792050262921585
fra,,,,,5.4986435348828255,,,7.823305282399412,,,,,5.634950843520354,7.263694237763678,,,,
ita,,,,,6.251363795864629,7.815489842824761,,,,,,,6.437532184705837,,10.192678703813822,,,
por,,,,,3.4799051343825376,,,6.504509783697438,,,,,3.1732194600314036,,,,13.279511807780093,
ron,,,,,4.983193681587576,,,8.359029369955724,,,,,5.422050395249249,,,,7.962494350090248,
spa,,,,,3.101538300959417,,,8.687528231054221,,,,,3.6568836635702144,14.254616804180205,,,,
