,bul,ces,dan,deu,fin,fra,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
pol,21.056574158394127,24.24177391993046,,19.681567293862557,17.1883153085298,,,,,,,,,,,,,
bul,,26.085417718912296,,24.06615139488374,22.22805847632569,,,,,,,,24.22233911271862,,,,,
hrv,,24.94900496917167,,19.717345089729598,19.27958508494904,,,,,,,,22.682240593730167,,,,,
slk,,29.365176872317846,,19.59867865105352,17.961507567528443,,,,,,,,23.303997727867653,,,,,
nob,,,34.31692557596213,25.93171760004198,20.46342185001377,22.455671890041693,,,,,,,,,,,,30.62654425181832
swe,,,30.30373343870908,23.53684360464409,22.574231147116016,22.743103519832268,,,,,,31.732347482900288,,,,,,
ces,,,,17.865840262416853,18.037952954288706,,,,,,,,21.972275362223208,,,28.1829167916531,,
dan,,,,24.166850672837747,22.096010490131327,24.325121570615703,,,,,,35.05327329922315,,,,,,31.001064043075296
eng,,,,28.572962152670236,26.39729608523227,,,,,,32.37299993909296,,,,,,29.770792837200972,31.348610704905646
fin,,,,16.826194977311385,,15.780080074344928,2.2299868112810604,,,,,,,,,,,
hun,,,,18.21314711811282,15.982413921009924,16.603989625084623,,,,,,,,,,,,
lav,,,,19.090629141752274,18.109802306072037,,,,,21.910083501540086,,,19.39490924592065,,,,,
lit,,,,16.773873725354505,17.33556167804151,,,,20.668318645641854,,,,18.57129354079754,,,,,
nld,,,,24.48708172961992,21.67755982664625,21.78325002381196,,,,,,,,,,,,25.586541829987105
deu,,,,,19.25517403741392,21.035067885281507,,,,,23.727153890493362,,,,,,,22.936306217060178
fra,,,,,21.888314830785525,,,27.456308196068438,,,,,22.472298758853825,28.343406100394937,,,,
ita,,,,,20.25040737125675,26.91261678517261,,,,,,,24.15821445264895,,28.327119717826996,,,
por,,,,,22.808528048063465,,,31.282100472544737,,,,,24.996408458980248,,,,34.4350521770979,
ron,,,,,21.064539210449055,,,26.173533903475896,,,,,24.45329164457859,,,,26.12642209793119,
spa,,,,,21.863034561549988,,,27.310928722106528,,,,,24.235553335996368,33.79819837341132,,,,
