,bul,ces,dan,deu,fin,fra,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
pol,13.596096317320285,16.089412363467865,,12.607308270425435,11.211693805992766,,,,,,,,,,,,,
bul,,16.557261914861062,,15.3549961879901,13.78508063806539,,,,,,,,15.165434081848376,,,,,
hrv,,16.70562744605022,,12.848168258022646,12.618464595810565,,,,,,,,15.010043085788022,,,,,
slk,,19.692670351324292,,12.754776740633641,11.660092405401308,,,,,,,,15.219328756789977,,,,,
nob,,,24.6790001153017,17.75175606761723,13.685976828651434,15.286837290306703,,,,,,,,,,,,21.85531222627428
swe,,,21.34465040461892,15.660744450901507,15.07514967993528,15.310234922544272,,,,,,22.38568261205772,,,,,,
ces,,,,11.685322355456655,12.039694969381268,,,,,,,,14.564026937427043,,,18.393507083689737,,
dan,,,,16.28547527539618,14.840659472109454,16.423147714357206,,,,,,24.961350148970848,,,,,,21.801774585596696
eng,,,,18.737873822179495,16.71051796248348,,,,,,21.96408431989377,,,,,,19.74877563831646,20.811356050962857
fin,,,,11.690407233564384,,10.826578681308238,0.7457692748117054,,,,,,,,,,,
hun,,,,12.303361323413151,10.685100705707534,11.032009580553666,,,,,,,,,,,,
lav,,,,12.258696323613778,12.283771670822311,,,,,14.537857232976005,,,12.884996263790523,,,,,
lit,,,,10.691573297488747,11.942267177991548,,,,13.587879110100356,,,,12.024482211352977,,,,,
nld,,,,16.590470203902626,15.046745993455882,14.949951501153263,,,,,,,,,,,,17.512846435375657
deu,,,,,12.920467288888531,13.721413704622327,,,,,15.692194423863059,,,,,,,15.199196129903063
fra,,,,,13.779216504332757,,,18.268673653820525,,,,,14.203293658188501,18.595615165554655,,,,
ita,,,,,12.971327701216843,18.36553570660087,,,,,,,15.69464260480314,,18.946150629279238,,,
por,,,,,14.593505702379174,,,21.151082864261532,,,,,15.865279482574312,,,,23.998778099279484,
ron,,,,,13.674768408419496,,,17.54045293711474,,,,,16.258526492779005,,,,17.521445243357977,
spa,,,,,13.40910298355421,,,17.50077790276069,,,,,14.954671408227458,23.734794690056606,,,,
