,bul,ces,dan,deu,eng,fin,fra,hrv,hun,ita,lav,lit,nld,nob,pol,por,ron,slk,spa,swe
bul,30.824898947734273,1.7143139429848602,1.3434752916036194,1.521432021624837,1.148263240575157,1.1240239524499243,1.2444582230307828,1.5809203474502516,1.376379918514267,1.5099348305217897,1.4694097475693435,1.5937022745863367,1.0633254137895096,1.0497028990682624,1.3968302226740965,1.4424229333960905,1.6032203121069148,1.0654824270694854,1.2172383506025066,1.1416698294208363
ces,3.737977722978754,26.66533627033651,3.6970526467704734,3.8283841380306955,3.2636099294178655,3.675884549239714,3.8372439957104603,5.312403763969432,3.6341174848533773,3.616178300415167,3.7448217573404037,4.2442100438848955,3.736211891939932,3.8662969221758408,4.792525241516593,3.6487901431169574,3.5354793345072677,13.204385918049287,3.7025648435925027,3.782276121417489
dan,4.131487436866247,4.835200695129448,30.627600202070944,5.274383347483971,4.868654158383525,4.413984329467423,4.889851711820003,4.758242206725184,4.014418873359027,4.592479191768283,4.311636877535107,4.494769598017512,5.481722382278641,18.99076035222438,4.432199290944512,4.296629577581774,4.639203932711574,4.634037666659799,4.421426544363889,9.25892931969957
deu,3.621315622993566,3.9207564902953367,4.319392360537008,28.54973413238514,3.9210573491888474,3.843922059814801,3.998434042278148,3.8184908324155766,3.364632264796364,3.996358518067976,3.7205053340011704,3.8168319273876974,4.888166058723313,4.387735968900016,3.852151238060518,3.7700749083600993,4.125258570725219,3.6845808075591213,3.920138814544808,4.361213681513854
eng,4.765233923825407,5.027833846314158,5.687331692137544,5.555612186411136,37.43756275169781,4.872454510090731,6.381153069699141,4.776361600702527,4.28433190584791,5.659962219010282,4.644066189986088,4.914381890476441,6.313334008489107,5.699876038081489,4.804196672149398,5.090679028066129,5.834485823766065,4.733193145417337,5.318705919575829,5.6487609867779
fin,3.8685873049336728,4.035635583410235,4.029175815130223,4.373059145146638,3.8835437329938722,24.16396724102598,4.05177986751514,4.243939730567063,3.664449900148353,4.142564680804862,4.120094433767141,4.578862107650361,4.08092602756692,4.273269481479244,4.018221617407051,3.783537203878678,4.094531154264851,4.251663734714367,4.054159893891921,4.623468541935973
fra,3.4212799491121384,4.013182353479157,3.9533951236735594,4.019887840847698,4.426143905304228,3.5724787404744576,32.50716405647268,3.6856514485800322,3.2826369608211237,4.922432148882522,3.6441912009096584,3.8252941758493937,4.161154285499863,4.039102562796595,3.66897580957084,4.630350037727656,4.6243477358496685,3.805543324700076,5.174365338447204,3.7907636341137794
hrv,3.730210978347274,6.9594467724433,4.439069839563919,4.192695442276591,3.8459348631814914,4.240210073457369,4.043522973284565,26.414665749578045,3.730002965082602,4.111277778159944,4.8617985417932505,5.724011386750697,4.241650028258381,4.562876734646208,5.792964044264893,4.006033689948598,4.658609851136967,6.568586468478086,4.354143927565671,4.369599014062609
hun,3.4970348163746983,4.372540539439975,3.4111209132155427,3.5746202958143716,3.093220752652658,3.3658474935169305,3.6778425887513335,3.661232538879918,23.399586177154294,3.4403363641232856,3.2281481557665557,3.4666481287579063,3.4645850503926936,3.6206529155013243,3.777443706504991,3.717559908523994,3.257054803476111,4.38181422667173,3.7975277993761156,3.4819717601765916
ita,3.838398591003355,4.2122327566902005,4.234773336481616,4.313864078510524,4.4692094937289895,4.206516282340105,5.7430209761289985,4.489237263427257,3.68080745776394,31.34056271645221,4.284171258417874,4.464896749724719,4.6473013642479595,4.429779428198417,4.164469037434397,6.115027946662746,6.336725239405749,4.109186281994807,6.720570715748183,4.265104505617313
