,agn,atd,bcl,bgs,bkd,bku,bnj,bno,ceb,cgc,clu,due,gor,hil,hnn,kqe,krj,mbd,mbi,mbs,mbt,mmn,mog,msb,msk,msm,mta,obo,plw,rol,suc,syb,tbk,tbw,tgl,tsg,twb,war
agn,13.69792410756727,10.212625775960573,8.768209262244095,8.005685239823029,11.978947889188857,9.815006850373582,10.230422008648503,6.904733569585188,14.32042258394004,7.7631447484055,8.908177955744202,11.405283284917612,5.936006913051804,5.533536489491345,9.068190508174274,8.750704048733109,9.281959886956349,9.626903915696,9.647623419200308,7.497137182834609,8.947406831558718,9.484082541812063,9.98000072680901,12.973725098761529,10.313467865668933,11.382915521731704,8.995235935017627,9.882649827940972,10.619488782819396,10.343706348307819,8.346843912827099,7.828370141672049,9.507832549241265,9.054816763297517,11.035127461836671,10.801773240750313,11.948336829725326,6.310226889189122
atd,9.43052208259216,13.776893698171902,6.901436321381452,9.660826978217276,10.46544196519273,8.357421342747875,9.141082637311984,6.795504306099032,12.031384340268486,9.839553912708274,7.954536683798791,9.42839353891225,7.701463035469764,5.152745629208208,9.406237551841071,8.805325468820753,7.299175801359967,11.701156317046262,10.47669097973598,9.549121496067094,10.263747722165558,8.668475658681887,7.83366145918272,11.724984822526876,10.433720891635947,11.909098042224663,6.610643267114267,11.115509935820821,10.987913529202478,9.509198031088237,8.351735623780252,7.663443616072381,7.883768543496954,9.074025992619388,10.883165768408988,9.23083322983126,11.568168146467599,6.80657343040426
bcl,10.092831676019157,11.392266632415561,15.63664878404751,9.030047228724857,10.705819091837183,9.710633676120397,9.495618891002547,6.6773399149041275,15.282804538548694,8.280273993524485,9.17345682406622,10.539509544715903,7.53204803331853,8.564575062310507,9.091064828141448,10.607560815336946,9.52876713224691,10.271192774012219,10.4536325911707,9.197351106156642,10.13441054813888,10.136859482057847,9.4398532181869,14.807683443308836,10.45448120313086,10.829214886334192,7.752807883333593,7.865960760703408,11.35425370517927,12.250035030242136,9.740944049797278,8.63031098387693,8.266324263102714,10.018027021628459,12.239090060973421,9.7519639616759,11.777113708117339,7.4736978665630005
bgs,10.572044611525067,10.315191231870243,10.69696059199018,13.504907488551602,11.131063728146506,5.954552474490813,7.939639523974813,7.635304944210581,13.426092363834318,10.046088504534339,8.18925222502305,11.069659993499512,10.711535226778324,2.5212432255087776,10.898666240001297,8.93006820308497,7.649212348899533,9.493628220052207,10.037313037833881,8.008143381370957,12.330864015006862,5.393484811695063,5.731923125500781,11.636448215187297,11.407144264704717,9.94988517997188,7.099079134947779,9.253512058694064,10.924087036575052,7.6803596318417,9.664830479489817,8.986896356923971,10.357283074574267,8.450761086249136,12.421746870614642,12.983872207702404,12.735689303843406,7.806429584097748
bkd,10.455605016901828,11.07694618870703,9.395377271810801,9.1603370472516,14.224960879288979,7.501113196629476,8.67591516429433,7.6179961633500115,14.436023237435794,9.398588391422956,8.123130135453916,11.7258437803502,9.098861815048696,4.505991982400653,10.226238812869267,8.465771568568185,8.45708636420421,10.310124585344576,9.945201890513816,9.66193191004713,10.49053070879876,8.142709012938665,6.855465593350653,12.138220679205196,11.283919629704299,10.568524109980167,8.349191298560095,9.408805798407997,9.90442557854937,10.357763621579979,9.635797358914303,7.9161249533492475,8.997747109961127,9.450196494575305,11.014605152782138,10.476568433131037,12.545899275154893,8.225165816066793
bku,8.589132981193996,11.788025629858053,6.871011295110923,6.801978022704105,10.536174553757718,14.590999933771556,9.438401757357234,6.693096440143781,12.303292664694151,8.3780304767703,9.577912855604879,11.173639736273683,6.488164686048004,5.522090236259832,8.17135224121782,9.538778437144346,8.45131760787307,11.03416158758797,10.56391803201325,9.26809418759616,8.022596580985432,8.148700007789273,9.483537875568254,12.152888260929187,10.602081052167527,10.626817709292064,7.105213771627793,11.917397629073006,11.35339514663233,9.684419469472715,8.55234586377894,8.125189202525993,5.934845048850631,8.751800746958034,11.237898051437845,10.608911812388952,11.764024369554955,7.4060841332742084
bnj,9.243610859048658,10.89393157399202,8.16196708419714,7.48971829738896,10.582595636796702,8.386134753445178,12.905232284069774,4.56763713712949,11.620601572230377,7.1953995706230565,7.980280050877663,11.536716908487636,7.6342099126397445,3.6172454123716893,8.863936297692366,8.727740062413067,8.226249967043833,10.002350302452044,9.302866770079797,8.201163332921187,6.815845819336776,7.127272211901491,9.447559663805063,11.798285231696488,10.065064169501873,9.022574130321402,7.727651590693709,7.900858882522307,10.613340177698092,9.799326189941207,8.594225157687385,7.307172765414786,6.2169760909120155,8.57181725973009,11.1470621881474,9.855490634975395,14.513299273284568,6.492440103628126
bno,11.182084724747648,10.121385736163731,8.133578100336667,7.8837637971594186,11.576935006921534,7.777740992599467,10.239265522558929,10.009163643327113,13.957753459087902,8.75400174955259,9.682187741577147,10.8551365410616,6.9692671230811385,8.837977479447353,9.63506697842508,9.604481125556132,9.805826651656481,9.78053331777358,10.155692518464928,7.6240695089763415,9.025021978603473,9.501129195359479,9.238019610029603,14.170270085578423,10.896244180710037,9.748477608967447,7.959731655387686,7.492760983343784,11.545689944533214,12.51136587905432,7.991030781803719,7.810351475185244,7.578014469746925,9.802648465069048,11.285554088708102,10.252745722283017,12.15080870015363,7.066656457350311
ceb,10.19636567936725,10.4865424100062,10.06076545983072,9.25001129483717,9.453237829046408,9.155279372657269,10.329068871495775,6.969042598447552,23.907035190790367,8.622167746657873,9.48215451201952,10.455851398048798,9.56141540503574,12.09600741489149,8.745777039787578,9.956924903750698,10.212858522823401,9.680505865621893,10.272719406908717,9.643376009828154,8.53240775633483,10.036569280426324,9.954071008780954,14.899221431018011,11.255962512754907,10.97901314685883,7.224191290372256,9.003678949383406,11.215779949364915,12.7413484978721,8.478832553018943,8.04981932159527,7.8164666572946615,9.441798953602747,12.30570923930712,10.087451554458662,12.046310997598392,8.310564764031888
cgc,9.593417484164359,10.440594782104542,8.99965497685413,10.037235667047858,11.565814090582776,9.107217840344742,8.243345881929626,6.078963989206694,14.285455621302932,6.789549790112391,9.585346973397057,10.938006071674337,6.42633208891817,6.014283782368209,9.314818455853668,9.759853202451255,8.294270736150084,10.483133136045147,11.019461867147625,9.863654726802098,9.846023556107564,8.42640406613209,9.44422233427379,13.347267232034124,9.772267019184591,11.581369961759801,8.288222141149031,9.32483249442507,11.608383347488768,9.171714581031551,8.797593247306263,7.48051274509875,8.327816295088644,10.127157429614112,11.886427710089336,10.06046385885693,11.617392661252165,7.755490146375108
clu,12.29373222003061,10.307878735266554,9.782924297772023,10.679575134660043,11.71706106992962,8.782330852788517,10.001383436419378,7.914023907071527,15.494939018419712,8.556482828558536,12.56550011057604,10.838639385884447,7.666691751236557,9.010134154863351,8.852767416330298,9.99022089564249,10.942564677785306,9.898942243320903,9.612734720938919,8.929861053836238,8.433200789346085,9.252788508134186,10.310967398453602,14.266826442984156,10.938174006606127,9.132191022213867,7.909737751247422,8.487311782207657,10.951868657103917,12.74047673876573,7.942565871003465,8.58269986694305,8.536433985519743,10.350317568573743,11.20465707217769,10.106270267588004,12.160388434969034,7.707028478995563
due,9.997907386021932,10.540065185056983,7.962880995399041,7.0753402503352,10.075188945314153,8.903434732274023,10.4513058516363,6.256921588925149,13.135998740864558,8.516567349383207,8.15920948286769,13.451904664755068,7.889554282328564,5.46469495415647,9.661753785845557,9.863799633912242,8.786992834221435,9.921746898971907,9.62569135647319,8.131976051640796,9.836069448672289,7.834814480700442,9.400538061402445,11.983360285343396,10.466221520222486,9.567016511426054,8.149785910230452,9.414536601069706,11.050941197078268,10.400933495981025,8.37631437129918,7.907169875168782,7.615927495059347,9.119195977276409,11.439110241358087,11.052443197154266,11.867303680430377,6.675076063775132
gor,5.93944581002937,11.64054594821226,5.4841017578063225,6.244234434870632,9.852247986966823,9.029185701437695,8.145648829537164,4.939756074578399,12.431563450969588,7.266578123886723,7.359650644051441,10.631916482986929,11.543499274964871,4.566968452891204,8.289880783144831,8.576248498871129,6.960770511510314,9.183896749259493,9.532645848055717,8.505001975523948,8.536411516432072,7.0858908212402625,9.100714031377326,8.67052161535589,10.402908073335672,11.645385991242335,8.704639275503098,9.329493164212339,11.360253555317131,9.3655824297294,7.601745383041922,6.94124444839941,5.38007867666589,9.344075784820017,9.323183244478743,9.793441268953213,11.184250329344966,6.492951340634557
hil,11.525110929376709,10.498983202785896,10.202164954739123,9.584993891413946,11.35891148185377,8.908420441439652,9.657554542218225,8.125669475471359,17.515518244974754,8.482473989459022,10.073961561240006,11.113917745977966,9.28697417365942,15.163037182678424,9.55196779761124,10.13004156429147,11.074923907596713,9.829063199840208,9.394163966926113,9.141646568234602,8.427724689830447,8.607677984786449,9.853436578118048,15.94946670312844,11.06525235745708,10.867389177091315,7.397652184899245,8.92223862343102,11.201481332002187,13.910960559641088,8.33901987712516,8.224541494381059,8.432967755302107,9.877013884329923,13.284803952702736,10.243048896383316,11.98366451338698,8.086207969108768
hnn,9.253423338540154,11.252818196971987,7.460096913784225,7.2187013015723025,10.701256729611686,8.63546388641908,10.060831690205692,7.248707210431547,12.927820026256562,8.391032899277343,8.101371125561828,11.795801057022,8.31140204170937,6.186764775361553,6.859918982272016,10.264195492882077,8.360109208970487,10.65891686089433,10.11114854655247,9.11081444607961,9.612469919444646,8.25536431121709,8.787884688242455,12.928614593391444,11.031737947686787,11.397609099025265,8.011328583200479,10.507384093018057,11.1582043123868,10.060607630179138,9.029669023938936,8.527218361150547,6.884970246388826,8.916689805478503,9.514669351897522,10.789368817405423,12.007915058561784,6.866523537810487
kqe,9.748059673059007,11.16644804675497,7.042696205954982,7.626994625753064,9.204567244842028,8.400594609177864,8.580197219675007,6.7840310485909505,14.385554088716082,8.235381492539709,8.246169876507075,10.192645824746718,9.625294714799697,6.281894292651288,8.667178736793517,12.925585992191316,8.608867370259457,10.35035660267834,10.664937772695492,7.912843514758297,8.761842550750364,8.797284361850013,9.790152451891158,12.484127441820124,11.817254519867483,10.402898249125968,7.21872937694045,8.95717897909121,11.385615423726932,9.895477075138427,8.932397402942186,6.669649093893392,6.115322197885184,7.84315562271491,10.951245951252327,10.96011015209006,11.505158127688993,6.599562512005565
krj,11.987609782952099,9.78806393327968,8.781344415206597,9.031596220058216,11.265250577491292,8.390064348060893,9.955673601489156,8.403524059466843,16.2232165774534,8.962286781135937,11.014922416200088,11.033714842961869,7.5933454528387925,10.13065552561704,8.89965722094762,10.080982322774487,11.638976183200263,9.866359030872287,9.492493235299944,8.53649392849103,9.090025803348862,9.134775471790654,9.69065545279945,14.567838197144814,10.92854271331283,10.087465926356746,8.341162529815147,8.575170600557911,10.957263286945805,12.3029749070076,7.9770516151190325,7.9770137413714055,8.44029591999457,9.57362298771518,11.813996514961044,10.074845824873973,12.0284057265646,8.031924123028022
mbd,9.851240317310255,11.30906111277955,9.557857654405515,8.476648925043161,11.312349021273244,7.487712617046312,8.792141747617094,7.766919914136854,13.247052517512255,10.066830411473715,7.826850888049306,10.05943099051442,10.3080813421972,4.886629886426013,10.146773865135195,9.100581753678226,7.784155608430139,13.598867296357495,9.720559214670425,10.326273815752364,10.197941291660378,8.376163640222554,6.6533772781063805,10.343399988694436,11.108921593220792,11.865885665173487,7.309019505615962,10.688368063343605,10.663982918188054,10.147807742614843,9.051599495297927,8.49730383891854,8.04125129977285,9.468623156479643,11.22655278975597,11.109207799358227,11.97718102871716,7.836061437188876
mbi,8.629477467318226,12.268839454041675,9.91451056880302,8.1787312801552,11.585128219371004,6.216140609491013,8.24769406332683,6.644085755198784,12.962714907385928,8.353215268300616,7.826419804193267,10.890396112258806,11.099494588383251,4.048811417302206,10.38497010925634,10.010294466141607,6.983868915404607,9.850047286955238,13.083938160431288,9.550039132429358,11.975974812243953,7.543586443445363,8.297989682697992,11.026780378767821,11.92648598981781,9.809827805035635,7.919332520940241,10.240713817929358,10.450932819408415,10.171907067161925,9.74461907493138,7.519226701114843,8.989059126513554,9.14531627886761,9.185017146827875,12.337605559061677,11.383784679015855,7.146615183477843
