,aeb,aii,amh,ary,arz,ayp,heb,sgw,shu,tir
aeb,5.4905047169585135,0.00394234012880279,0.06457006838396318,2.311406653331961,1.1378165037791934,0.4056357016215184,0.1764561630159367,0.06994127512887793,0.5979403840907374,0.041660964106169374
aii,0.3338839131646587,9.396610849876392,0.2455684161983065,0.23215411355096727,0.38556525073104453,0.0,0.06744319752687566,0.04800241323856458,0.7426616529918224,0.0
amh,0.15930960184714138,0.0,3.6924272622178194,0.1369277457771929,0.6396256670115754,0.0,0.2709995027550338,0.6814757865955379,0.7182455673779113,0.738261347401096
ary,1.6939787329385059,0.07338434815193384,0.04059520199165512,7.752043600542905,0.7668758251752958,0.4604510653628413,0.053995484179736764,0.01727878891110013,0.6765960406334894,0.0
arz,0.4207799359951494,0.19066323888205527,0.09717501253345517,0.4931231253727084,10.753249344627191,0.36352845338631035,0.09288341914239062,0.051420378851330995,0.8842154683178123,0.01227558445837218
ayp,0.338796176118457,0.10531835565939751,0.26327155661065227,0.22718650773281723,0.8090181247385999,6.94368747269672,0.1578929307116077,0.00035802204160972906,0.8819231507694294,0.10247302950292259
heb,0.25207681200089915,0.0,0.22940583102343126,0.350083450038321,0.5577491122821776,0.0,7.753210307417117,0.14284011389048779,0.7473207544380553,0.06151436386771891
sgw,0.3007649258078384,0.0,0.6938007348283897,0.0,0.5372368192931312,0.0,0.15744479828831182,3.436361586703123,0.5802453315692073,0.7659413114929166
shu,0.09007258460525236,0.0075058078752050505,0.15501619150834323,0.15318024332622127,0.01277122761415761,0.0,0.1881056927770981,0.09891877366530011,3.4838825313285824,0.07103929163474731
tir,0.18355662206793077,0.0,0.5196943353974373,0.0,0.4854732378957518,0.0,0.11811748895012286,0.2536688784384289,0.7664712349622551,4.295102580420803
