,alt,azb,bak,chv,crh,gag,kaa,kaz,kjh,krc,kum,nog,sah,tat,tuk,tur,tyv,uig,uzn
alt,16.968483372030565,10.53970760890803,11.30910304539006,8.831881378866962,12.121120419003823,11.607541132216037,12.442637072689472,13.224265613509953,9.712417467854864,12.909047037701166,12.473160431274012,12.943195359708746,12.574382962072885,11.203453646570335,8.278760758706088,9.460415347522495,12.298967858528622,11.709085869062747,9.446735466992536
azb,13.896758930413256,13.698385955278999,9.18830847862061,9.622211028466365,9.793810431733872,11.657356947677679,8.085343663456172,12.964278655192413,12.612753105202815,11.879126284073044,13.77749143910743,10.78508315600165,9.958968708274384,9.6853236582809,6.518950492003213,9.122192538253216,10.576764835929218,12.956564990653522,5.927833195915207
bak,12.553540275524833,11.050049502454083,14.569162330695592,9.906622305478397,11.527746132657334,12.933699095886958,12.083020962187675,12.214305124980553,10.571142136714675,12.741740459281104,13.039270023285063,13.260642096738051,11.781408855061546,13.013134425239006,8.260970601048236,9.237621415429421,9.834812764374783,11.666853544819944,9.126335921671643
chv,11.613591961426549,11.301527162294988,11.029844511948589,13.58255413296118,12.295800558687354,12.607374818809557,11.91961434332382,10.954135233652257,9.574639782140721,12.622809042897057,12.627801746178477,12.788666142299848,12.492072883917855,10.0729315106726,8.119443447596609,9.409646820067758,9.937724705475116,11.95979069611722,9.648204228747115
crh,12.120381793596643,10.540029281810616,9.889430088334699,8.863820072305222,15.79343790380278,13.2214392399325,12.13413124314498,11.869996318393696,10.690396033924927,12.337039295750976,12.26475949657939,12.856100141063765,12.033296945572939,11.89009458355413,8.178946932856636,9.37975927613283,10.525180124864942,11.186355495710751,9.593609913797204
gag,11.31274495247719,10.236809259006886,11.91235708926294,8.96400276441079,12.715915482093699,18.050306929398086,11.986107699407727,12.474654686385135,10.28652707388212,13.076948344569805,12.287908754460789,13.83003897464586,12.281271054859937,10.694964724253353,9.262752425459725,9.098229128122728,11.727934261525409,11.603375065636948,9.53757784059157
kaa,12.69787017170463,11.276856461930532,11.040575755696434,9.366779011699734,12.68261709834175,12.632716326882552,16.024140272459523,12.72681319913756,11.589198243458304,13.602515334151402,12.748499615451086,13.598711515604256,11.91187487970605,10.7540629149637,8.285522555847573,9.254033582275373,11.029297615843223,11.432180452003406,9.50243856706808
kaz,12.55625425211141,11.390267880493338,11.500539496752776,9.392485363011094,12.400757763108071,12.774268802829884,12.022010062417408,15.669020043856607,10.94050081632468,13.028983441949238,12.519073263511796,13.735504816791568,11.624715113618276,10.99604198099327,8.154591074062399,9.512963177560284,9.676131482008914,11.271596010670793,8.868396174455984
kjh,11.688619616516812,10.160764125041963,10.63487201019837,8.406442017999446,12.714484724518316,12.790366030789919,12.346402061083845,12.951176733095302,14.036489423501308,13.293946197397593,12.811106325860214,12.896978178696452,12.267225808046275,11.377643158953763,8.740730274897569,9.133405009604116,11.89262252936908,11.415084076846506,9.219621570167202
krc,11.550699573953409,11.067075127694642,7.835336024952555,10.321172042474796,12.893033880418791,12.469410789465057,11.663477607655627,12.546447816265594,10.214446999959698,17.205835786942306,11.879379140024755,12.88356789432507,11.916401105307553,11.237579557500542,8.483948502379624,9.133604954363427,11.62852599442094,11.48541832300691,9.941205782919488
kum,12.720172079928254,11.133255714030554,9.226260765719873,10.72132770472049,13.141072254901099,12.818346519096805,11.348392906482196,12.24483184846802,11.065196041233808,13.281770650389038,13.73138993695183,13.098024015080876,12.009315108473402,11.260465811064819,8.325247379620887,9.096386909328814,10.409655250521428,10.804386134208656,9.39146949065737
nog,11.772443344108002,11.053384620822735,11.406227523307031,9.71109788067436,13.85895764535019,11.992968723895185,12.368573314718297,11.930324013113907,11.93007810756906,11.926058718724853,11.518033311345862,14.333696164329298,11.871396428298722,11.710536647395685,8.367660585082353,9.336300471655063,11.534320817793729,11.19536379123286,9.589743396743604
sah,12.224792714060989,11.070627256328152,11.889094315313002,10.280842849025007,11.477487203044753,13.422752793435796,12.740283542224272,11.329784973888213,8.515473925154142,12.809583536240563,10.538470539654305,12.775909737437772,14.479540628513924,10.635024686570036,8.275386074475225,9.284701137088716,11.34327456419961,10.769414488954009,9.22184851352189
tat,12.226491064356559,10.937200967078454,11.750730017626598,9.416872753811017,11.893083270159087,12.242808086335373,12.059058550811896,11.7793796888914,10.967221056035765,12.927523871219273,12.850488327524184,13.463476281909134,11.711206535181704,15.954855448213024,8.356378730872848,9.296106234028482,10.616345719078325,11.665649574807263,9.050158449722323
tuk,12.315823477220048,8.853330494866482,11.57211703885286,8.523129174491737,11.035136373315027,8.964936440702436,14.172405235628075,12.37811709446619,11.81461841885812,12.392581157454426,9.781225619449105,12.020350744832642,10.34207974868148,10.15383206085623,15.659829425185151,12.989218007874761,12.54913260400395,10.671021208204003,9.180849080549388
tur,12.369492946987142,8.83071179418898,11.45152943628022,8.638993954333806,10.945476172689315,8.211188207469702,13.527877317194232,12.212880987516996,11.850933551971051,12.119363274950768,9.311221629006972,11.760644247794499,10.032075420083663,10.508415021313102,11.520384843915153,16.277278749235624,12.108310824054655,10.509142949070268,8.552328193537804
tyv,12.556211653400606,11.134481220892079,11.84470453357951,9.406855618808265,11.914448601958863,12.216482911398547,12.155723711597014,13.099215521638111,10.651839854234618,13.798978418878571,11.856301731536352,12.575653954002872,12.744458614758214,11.450132908239535,9.237457244459687,9.610799042659217,15.284797688537367,11.183478716266434,9.889604676662907
uig,12.70885654195261,11.223007916724082,11.49821674716292,10.050413263613716,11.860713375335068,13.15437646552082,12.110019085857623,11.178526305984667,9.414181134696847,13.0820540311942,13.478983795087368,13.284873215066106,11.839081219990339,11.26117736591564,8.41365974291037,8.985477687844744,9.571839055119742,13.544268276306948,9.955316320665474
uzn,12.375208639858021,10.644950529531014,11.55013002177108,9.393638587524201,11.745506689148124,12.056322473859206,11.05794802611692,12.087749207661057,10.145512455665449,12.699869854909975,12.657572175369186,13.407685090488581,12.206204560120621,10.993218885570846,8.059782841699917,9.52746890895453,10.558078184996694,11.670519484330951,14.467946068655921
