,alt,azb,bak,chv,crh,gag,kaa,kaz,kjh,krc,kum,nog,sah,tat,tuk,tur,tyv,uig,uzn
alt,5.063900555230784,0.8780854612212785,0.2100216798602741,0.007563191859127016,0.35629830964599307,0.6486990287797525,0.6280936561698613,0.6300087352869497,0.830834871317709,0.6035203283767423,0.6229076452690627,0.4579266270934319,0.383576275756468,0.4039150086881502,0.44774125475182913,0.0220218395214129,0.8921651780820916,0.10116505216012683,0.045395187531880765
azb,0.0,3.48429332820759,0.06399071026113212,0.0,0.4323719377018662,0.5300728672581698,0.21625360734764776,0.11792765338147682,0.7575824674730853,0.4306509095814057,0.2974959954235512,0.0,0.3889290120040805,0.38874314627728346,0.43174068781090025,0.0,0.43238556547981233,0.6994895312685525,0.138218309472526
bak,0.4205313047266497,0.8848342905378317,3.5003836906017955,0.0,0.3280304523348381,0.39290093207749166,0.32321503166895305,0.1653814898822663,0.3946028693650234,0.26332260369852634,0.34268196483845337,0.857727699321611,0.12475177995442266,1.6959524921930456,0.7178190284598056,0.04272926049140757,0.1154047584910245,0.32702312902971187,0.143686069950137
chv,0.33844237839969793,0.8719790622667087,0.1043743619804296,3.371516241530653,0.1429802450290918,0.0,0.11225133751847594,0.0,0.166765060830242,0.0,0.4048603827374855,0.09443775337809868,0.4030960158977859,0.0,0.46465102177228257,0.0,0.19249274150447704,0.0815089437137484,0.1738461017926607
crh,0.5382737506601316,0.6060727655053011,0.734190352154025,0.036210659586963345,4.133386715887218,0.8979845621574825,0.4826469345573088,0.023401884679824292,0.669530406978712,1.139815509308507,1.1158272241136036,1.2600964938622639,0.17418798159258841,0.4272015112825649,0.3204499471330253,0.0,0.2910800617249105,0.4469043994881936,0.4148445562621852
gag,0.0,0.7560752101811818,0.4648220828391896,0.0,0.3614051761317203,6.398099614829762,0.44675801701434814,0.07842511020249887,0.5267471911096884,0.6186360149358379,0.5670218358464574,0.8881944660307148,0.1000157685733516,0.6031716556097173,0.4410579821434446,0.053247546963985926,0.48159794551759383,0.2920619036329306,0.20211611585010303
kaa,0.200934355096841,0.8104934284169669,0.14445303232584727,0.05829901130113235,0.6147129778719869,0.5268075569168129,4.5084846743888125,0.803011643468766,0.6244632981984211,0.853544119343697,0.5486618922991369,1.3128970128192954,0.1202365657361586,0.3158799437632922,0.5601505234526503,0.0,0.3320910735607576,0.2333204391214032,0.2290434491403488
kaz,0.17842728323100054,0.9214917718306861,0.6790565239403694,0.1412600873837544,0.34151015023597964,0.3855844043287675,0.3548128150382155,3.761108651564671,0.3388172715375557,0.24697607312690728,0.3021586124607669,0.7450063128622997,0.0,0.4984710314919223,0.35937693302905505,0.0,0.27876542353061495,0.14844983618622187,0.0
kjh,0.2723112041055522,0.8149155488795454,0.3878620147791132,0.21723131597010514,0.35295551891574206,0.6997495343229811,0.37581972225788896,0.35380227307801704,3.60712985282648,0.3447649327280704,0.17832876354978744,0.37457615368240305,0.4752443026060238,0.10988884238853913,0.622795130892051,0.0,0.7007239301315291,0.0,0.11108998145702209
krc,0.358453415856383,0.9444650824809813,0.0,0.08952234803428638,1.2377193693960553,0.5635734747234586,0.635293236588284,0.6549502546345227,0.3659633263167805,5.588216619919491,1.0174678236990893,1.6187151044942016,0.13503810382922055,0.37975115634862533,0.31284704828037313,0.0,0.5628003806514847,0.3290608099410264,0.21166416805214006
kum,0.3531778266000387,0.6886338306462338,0.15333488157041408,0.2541905835066931,1.1749971173197142,0.49527140192275176,0.5697580228287098,0.26631489977558154,0.21840750848027746,1.4414067423286259,3.0315074646582314,1.1271055284326827,0.13152589049492036,0.2354896466757932,0.29662280621653636,0.0,0.26817195259257787,0.32416901785777696,0.3387955039570958
nog,0.7207061812006295,0.7258330304452532,0.6007279636043386,0.2605546984596234,1.5312915043041375,0.5253657566248808,0.898310151629321,0.4634147533612598,0.3288681313231354,1.281697919703026,0.8543472266829486,4.0416241733268095,0.07477607496167948,0.6527820566803282,0.566071097042733,0.0167208431627337,0.2240913771872819,0.37668199844641315,0.37256018633219057
sah,0.29022666205041325,1.1006081638373288,0.2500892730736144,0.268928537402898,0.35960175063355493,0.4273696342396125,0.013680754133599038,0.09380363409642278,0.3218545325900575,0.19708468046023242,0.13982465088233553,0.07656731643179704,2.980245606742324,0.26752344723505317,0.4239815629241743,0.0,0.0009152012816517896,0.07051145223825195,0.23383371893436689
tat,0.1567347711400977,0.6372589805750355,1.271611774006054,0.0906017813350406,0.4105192745593804,0.38227298956195277,0.4515279335562834,0.3992702666570267,0.3602976936907787,0.5465235922562002,0.2505225293240656,0.7691266514725843,0.3865584682009118,4.879761704833019,0.4652330851128035,0.0,0.45892702826718335,0.1833717687995886,0.14763092847820758
tuk,0.0,0.0,0.0,0.08776561587231235,0.20911409371244183,0.0,0.23212837899052374,0.16775622554344416,0.0,0.18609539522941176,0.0,0.0,0.006406983629730689,0.13086565325492927,4.036782079200078,1.0639966371872536,0.1952237623896398,0.0,0.12384096409143552
tur,0.13943515238538673,0.0,0.12533119769183365,0.0,0.1160049460830983,0.0,0.2281005046636011,0.22486566626355042,0.1435529484109903,0.2246281013749858,0.020019615618171116,0.16237751652460908,0.01801297805427815,0.07780919614240744,0.5894435133372085,5.117672362986081,0.31854478028199473,0.006116410758538748,0.0
tyv,0.6042739272341784,0.10380261470048424,0.0,0.1720824047319578,0.43543013515573037,0.38742540284636817,0.3661603141388916,0.4588068586955245,0.5607048131141106,0.5407428151543563,0.27409559366310177,0.28053372441160107,0.3935292814160114,0.368105416019894,0.1807000975992974,0.0,4.080522320012502,0.009712234109553464,0.366002129664432
uig,0.0,0.7112847619986535,0.2742565383521818,0.17896029601881835,0.24678683070645846,0.23728722843297234,0.25487673135084776,0.22543111901704016,0.0,0.37190485885754043,0.2159718999064637,0.24269601631175064,0.0,0.27969347217212714,0.42865386994885846,0.002752729937212095,0.08605266430249969,2.918628203096132,0.4880914675368615
uzn,0.20695410801305414,0.7941387355619369,0.1770242753633564,0.12120080389691701,0.4052634559906849,0.622541190862675,0.24917774223732891,0.2617401674650939,0.05688064305653917,0.6031287263947362,0.6706302895654055,1.001882763288128,0.20168792692324544,0.3311056199961264,0.4376245036732662,0.031563313893466116,0.4453044256784793,0.44853107156430205,3.734192166501911
